,id,name,starRating,guestReviews,ratePlan,neighbourhood,enumNeighbourhoods
1095,1440468288,HOTEL K5,3.0,9.6,238,Nihonbashikabutocho,101
1096,1130583648,Book Tea Bed SHINJUKU-GYOEN,3.0,9.0,238,Shinjuku,8
1097,126669,InterContinental ANA Tokyo,4.5,8.6,240,Akasaka,47
1099,536333,Bamba Hotel,3.0,9.0,245,Shinagawa,85
1101,223715,Tokyo Marriott Hotel,4.5,8.4,249,Shinagawa,85
1102,119381,Sheraton Miyako Hotel Tokyo,4.0,8.8,250,Shirokanedai,198
1103,266494,The Strings by InterContinental Tokyo,4.5,9.0,252,Shinagawa,85
1104,418275,Hotel Chinzanso Tokyo,5.0,9.6,255,Sekiguchi,199
1106,1157371904,The Kitano Hotel Tokyo,4.0,9.2,258,Hirakawacho,67
1108,160504,Ginza Creston,3.5,8.4,262,Akashicho,165
1109,418958432,Oakwood Premier Tokyo,4.5,9.4,262,Nihonbashi,45
1111,1029911712,Otsuka No Yado,3.0,10.0,266,Minamiotsuka,116
1112,574575200,Ascott Marunouchi Tokyo,4.5,9.4,266,Otemachi,200
1115,1123982880,HOTEL LiVEMAX ASAKUSABASHI-EKI KITAGUCHI,2.5,8.6,268,Yanagibashi,62
1119,773190240,MIMARU TOKYO UENO EAST,2.5,9.2,281,Ueno,1
1120,641935584,MIMARU TOKYO UENO NORTH,2.5,9.2,281,Ueno,1
1122,211493,Grand Hyatt Tokyo,5.0,9.2,287,Nishiazabu,70
1124,1179565728,ASAKUSA -CHAKA-,3.0,10.0,292,Asakusa,5
1125,644982,Araiya,3.5,9.4,292,Takanawa,106
1130,145443,"The Prince Sakura Tower Tokyo, Autograph Collection",4.5,9.2,307,Takanawa,106
1131,114076,The Capitol Hotel Tokyu,5.0,9.6,308,Nagatacho,201
1132,108609,The Westin Tokyo,5.0,9.0,309,Ebisu,27
1134,205472,Four Seasons Hotel Tokyo at Marunouchi,5.0,9.0,312,Chuo,2
1135,1364038336,illi Shimokitazawa,2.5,8.2,316,Shimokitazawa,120
1136,650262,HOTEL AXAS NIHONBASHI,3.5,9.4,319,Nihonbashi,45
1138,231056,Conrad Tokyo,5.0,9.4,320,Shiodome,156
1139,160947,The Tokyo Station Hotel,4.5,9.6,320,Marunouchi,197
1140,452693,Andaz Tokyo Toranomon Hills - a concept by Hyatt,5.0,9.4,322,Toranomon,202
1145,1053471360,Indoor Camping Asakusa Ueno,3.0,8.0,338,Ueno,1
1146,1366103488,Four Seasons Hotel Tokyo at Otemachi,5.0,9.4,343,Otemachi,200
1148,255753,The Peninsula Tokyo,5.0,9.2,347,Yurakucho,171
1149,1341247712,Fraser Suites Akasaka Tokyo,4.0,8.4,348,Akasaka,47
1150,1342487872,Condominium Shibuya Goten,3.0,10.0,349,Setagaya,17
1151,118482,Imperial Hotel,5.0,9.4,351,Uchisaiwaicho,154
1152,108657,Park Hyatt Tokyo,5.0,9.6,358,Nishi-Shinjuku,63
1154,572398,HOTEL GAJOEN TOKYO,4.5,9.6,364,Shimomeguro,185
1155,1665949696,illi Nakano,3.5,10.0,370,Nakano,167
1156,1504552352,THE AOYAMA GRAND HOTEL,4.0,10.0,371,Kitaaoyama,195
1157,234710,Mandarin Oriental Tokyo,5.0,9.2,381,Nihonbashimuromachi,132
1160,1424927488, Hotel Tokyo Yumemachi,3.0,6.0,387,Ryogoku,9
1166,1364216608,Kimpton Shinjuku Tokyo,5.0,9.4,398,Nishi-Shinjuku,63
1167,1366909408,"mesm Tokyo, Autograph Collection",4.5,8.0,401,Kaigan,109
1168,545542,Hotel New Otani Tokyo EXECUTIVE HOUSE ZEN,5.0,9.4,411,Kioicho,192
1169,1567815872,"The Tokyo EDITION, Toranomon",5.0,7.6,412,Toranomon,202
1172,1067678368,The Okura Tokyo,5.0,9.0,450,Toranomon,202
1174,1238994208,Yadoya Uguisu,3.5,10.0,456,Ueno,1
1175,145411,Palace Hotel Tokyo,5.0,9.6,468,Marunouchi,197
1176,308704,"Shangri-La Hotel, Tokyo",5.0,9.4,468,Nihonbashi,45
1177,1210144,"The Prince Gallery Tokyo Kioicho, A Luxury Collection Hotel",5.0,9.4,468,Kioicho,192
1185,1233932832,SHINJUKU GLOBAL HOTEL,2.5,8.0,536,Hyakunincho,21
1186,252642,"The Ritz-Carlton, Tokyo",5.0,9.4,590,Akasaka,47
1187,1769961856,Nishiogi House Maipenrai,2.5,10.0,724,Suginami,146
1188,1287478528,eos HOTEL Kinshicho,3.0,5.0,763,Sumida,16
1189,701482496,Randor Residence Tokyo Suites 	,3.0,8.6,851,Arakawa,191
1190,629308,HOSHINOYA Tokyo,5.0,9.4,865,Otemachi,200
1194,1365725824,eos HOTEL Ikebukuro,3.0,2.0,6905,Toshima,69
1197,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1201,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1208,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1215,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1218,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1222,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1226,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1233,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1240,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1243,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1247,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1251,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1258,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1265,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1268,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1272,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1276,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1283,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1290,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1293,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1297,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1301,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1308,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1315,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1318,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1322,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1326,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1333,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1340,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1343,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1347,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1351,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1358,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1365,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1368,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1372,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1376,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1383,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1390,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1393,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1397,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1401,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1408,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1415,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1418,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1422,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1426,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1433,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1440,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1443,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1447,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1451,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1458,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1465,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1468,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1472,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1476,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1483,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1490,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1493,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1497,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1501,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1508,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1515,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1518,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1522,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1526,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1533,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1540,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1543,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1547,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1551,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1558,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1565,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1568,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1572,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1576,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1583,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1590,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1593,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1597,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1601,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1608,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1615,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1618,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1622,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1626,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1633,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1640,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1643,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1647,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1651,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1658,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1665,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1668,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1672,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1676,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1683,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1690,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1693,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1697,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1701,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1708,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1715,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1718,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1722,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1726,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1733,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1740,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1743,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1747,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1751,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1758,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1765,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1768,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1797,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1801,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1808,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1815,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1818,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1822,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1826,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1833,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1840,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1843,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1847,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1851,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1858,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1865,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1868,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1872,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1876,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1883,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1890,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1893,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1897,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1901,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1908,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1915,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1918,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1922,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1926,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1933,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1940,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1943,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1947,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1951,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1958,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1965,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1968,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1972,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
1976,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
1983,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
1990,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
1993,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
1997,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2001,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2008,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2015,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2018,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2022,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2026,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2033,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2040,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2043,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2047,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2051,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2058,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2065,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2068,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2072,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2076,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2083,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2090,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2093,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2097,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2101,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2108,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2115,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2118,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2122,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2126,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2133,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2140,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2143,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2147,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2151,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2158,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2165,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2168,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2172,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2176,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2183,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2190,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2193,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2197,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2201,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2208,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2215,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2218,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2222,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2226,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2233,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2240,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2243,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2247,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2251,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2258,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2265,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2268,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2272,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2276,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2283,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2290,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2293,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2297,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2301,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2308,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2315,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2318,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2322,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2326,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2333,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2340,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2343,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2347,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2351,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2358,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2365,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2368,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2372,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2376,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2383,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2390,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2393,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2397,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2401,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2408,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2415,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2418,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2422,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2426,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2433,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2440,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2443,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
2447,312061024,Hotel Lungwood,3.5,7.6,41,Higashinippori,100
2451,1167570304,Hotel Sunpatio ,3.0,6.0,45,Nishikasai,104
2458,1179274208,Kawasaki Daiichi Hotel Mizonokuchi,2.0,6.0,54,Takatsu,126
2465,384184992,Hotel Francs,3.5,10.0,63,CHIBA,203
2468,381796352,JR Kyusyu Hotel Blossom Shinjuku,3.0,8.0,67,Yoyogi,80
